user_id,draft,acceptable_challenges,acceptable_target_categories,acceptable_mechanics,forbidden_categories,max_reward_rub,relevance_reason,abstain_is_correct,confirmed_by,corrected_challenge,notes
25995851-9e3b-4283-a7ed-bcea35ada712,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.051) — доп. челлендж экономически не оправдан.",True,,,
5f15103b-ab27-4449-9f4b-5fe29cf80430,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,бакалея; молочные продукты и яйца; личная гигиена; масла и жиры; рыба и морепродукты,кэшбек; бонусные баллы; купон,алкоголь; детское питание,48.43,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
08c72d3e-cc7c-4354-88a6-6160f4673674,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.021) — доп. челлендж экономически не оправдан.",True,,,
ffa53faa-301d-4935-b907-dda4b05aba98,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,молочные продукты и яйца; товары для дома; овощи; хлеб и выпечка; напитки,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,291.95,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
b387a5ff-326e-4df0-8a94-3676ed2040fb,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
eac031a6-65ab-40b7-b698-8916f1f18fe4,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; бакалея; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,512.01,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
f4290dac-4b65-4c04-8446-750d860faf24,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,бытовая химия; консервация; бакалея; молочные продукты и яйца; овощи,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,491.42,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
d5a1c8f0-e9e1-43b9-a571-3f2cb9a6a957,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
2cb8a690-ed7d-4fff-a6f5-6009677e4829,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; бакалея; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,39.06,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
6281b7e8-e94e-4ae7-b3ee-e3b910698a62,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,бытовая химия; готовая еда; кондитерка; хлеб и выпечка,кэшбек; бонусные баллы; купон,алкоголь; детское питание,644.76,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
36b60365-39a1-498c-98e0-849ed34c9b68,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,овощи; бакалея; кондитерка; товары для животных,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,65.68,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
780241c2-81f4-4997-af41-ebac3931bab3,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.043) — доп. челлендж экономически не оправдан.",True,,,
8cbf5995-17dd-4e22-a5bc-5079e0c2936a,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; бакалея; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,429.23,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
cf0758ef-e3f8-4c34-abf7-bb843326190b,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
e40508d1-6e66-400b-9116-33567c50b1c1,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,орехи и сухофрукты; рыба и морепродукты; мясо и птица; бытовая химия; хлеб и выпечка,кэшбек; бонусные баллы; купон,алкоголь; детское питание,77.53,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
d2753a18-9427-4547-8677-6fc124d51840,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
