user_id,chain,segment,family_size,habitual_categories,n_receipts_train,top_categories_train,weekend_share,promo_share,mean_receipt_total_rub,your_expected_challenge,your_expected_target_categories,notes
c9f51e79-b5e1-4236-9d58-dbc84998a999,Чижик,Молодёжь,3,фрукты; бакалея; молочные продукты и яйца; мясо и птица; напитки,37,фрукты (11); молочные продукты и яйца (10); бакалея (10); мясо и птица (7); напитки (7),0.189,0.253,446.9,,,
b387a5ff-326e-4df0-8a94-3676ed2040fb,Чижик,Старшие,4,консервация; масла и жиры; молочные продукты и яйца; хлеб и выпечка; бакалея,69,консервация (30); масла и жиры (27); молочные продукты и яйца (15); хлеб и выпечка (12); бакалея (11),0.275,0.218,488.25,,,
93d59af9-02d3-4f1a-b724-1b3039ada9f0,Перекрёсток,Молодёжь,3,бакалея; детское питание; орехи и сухофрукты; мясо и птица; товары для животных,87,бакалея (40); детское питание (32); орехи и сухофрукты (31); мясо и птица (27); товары для животных (24),0.31,0.18,1009.81,,,
5316f87f-7176-4d85-a832-8fdc926839a9,Чижик,Взрослые с детьми до 3х лет,2,соусы и приправы; бакалея; алкоголь; молочные продукты и яйца; сладости и снеки,34,соусы и приправы (17); бакалея (12); алкоголь (10); молочные продукты и яйца (9); сладости и снеки (6),0.559,0.293,502.41,,,
65f40d54-c757-4410-bb07-f3d761d9699b,Перекрёсток,Взрослые с детьми до 3х лет,1,бакалея; овощи; молочные продукты и яйца; товары для дома; алкоголь,38,бакалея (15); овощи (14); молочные продукты и яйца (12); товары для дома (12); алкоголь (4),0.474,0.37,455.89,,,
36b60365-39a1-498c-98e0-849ed34c9b68,Чижик,Зрелые,3,овощи; бакалея; кондитерка; товары для животных; алкоголь,34,овощи (22); бакалея (15); кондитерка (14); товары для животных (13); алкоголь (9),0.529,0.22,663.04,,,
780241c2-81f4-4997-af41-ebac3931bab3,Перекрёсток,Зрелые,3,алкоголь; масла и жиры; орехи и сухофрукты; соусы и приправы; мясо и птица,89,алкоголь (72); масла и жиры (71); орехи и сухофрукты (59); соусы и приправы (46); мясо и птица (11),0.247,0.155,1614.32,,,
08c72d3e-cc7c-4354-88a6-6160f4673674,Перекрёсток,Взрослые с детьми до 3х лет,3,хлеб и выпечка; кондитерка; сладости и снеки; бакалея; детское питание,88,хлеб и выпечка (58); кондитерка (54); сладости и снеки (53); детское питание (50); бакалея (50),0.307,0.117,1148.48,,,
4f23835c-0363-48bd-89ae-39704f13b86d,Пятёрочка,Старшие,3,молочные продукты и яйца; бакалея; личная гигиена; соусы и приправы; консервация,82,молочные продукты и яйца (30); бакалея (29); личная гигиена (22); соусы и приправы (20); консервация (15),0.476,0.347,485.12,,,
3cf1de8b-d996-43c4-bb7c-d3a2d09d64e1,Перекрёсток,Зрелые,3,масла и жиры; товары для животных; фрукты; готовая еда; бакалея,50,масла и жиры (36); товары для животных (32); фрукты (14); готовая еда (11); овощи (9),0.3,0.176,1235.54,,,
86d704d2-f310-4e05-b62b-b111cc1e50f8,Пятёрочка,Взрослые с детьми до 3х лет,2,молочные продукты и яйца; бакалея; консервация; личная гигиена; хлеб и выпечка,54,молочные продукты и яйца (34); бакалея (33); консервация (25); личная гигиена (25); хлеб и выпечка (18),0.5,0.134,634.39,,,
d5a1c8f0-e9e1-43b9-a571-3f2cb9a6a957,Пятёрочка,Взрослые с детьми до 3х лет,4,консервация; овощи; сладости и снеки; молочные продукты и яйца; мясо и птица,47,консервация (72); овощи (18); сладости и снеки (17); молочные продукты и яйца (16); мясо и птица (14),0.277,0.122,1067.04,,,
cf0758ef-e3f8-4c34-abf7-bb843326190b,Пятёрочка,Старшие,3,заморозка; хлеб и выпечка; напитки; бакалея; сладости и снеки,58,заморозка (24); хлеб и выпечка (22); напитки (8); бакалея (7); сладости и снеки (7),0.293,0.093,681.02,,,
eac031a6-65ab-40b7-b698-8916f1f18fe4,Перекрёсток,Взрослые с детьми до 3х лет,4,мясо и птица; молочные продукты и яйца; бакалея; консервация; хлеб и выпечка,42,мясо и птица (34); молочные продукты и яйца (32); бакалея (31); хлеб и выпечка (25); консервация (25),0.595,0.184,1395.88,,,
1ad63d0b-c93d-49a8-9d9b-2ac5ce376f82,Перекрёсток,Взрослые с детьми до 3х лет,2,сладости и снеки; товары для животных; овощи; хлеб и выпечка; масла и жиры,62,сладости и снеки (23); товары для животных (23); хлеб и выпечка (13); овощи (13); масла и жиры (12),0.29,0.184,1023.81,,,
0ef123aa-6178-4a4a-b477-bb5ffee5d914,Чижик,Молодёжь,1,бакалея; хлеб и выпечка; масла и жиры; молочные продукты и яйца; соусы и приправы,25,бакалея (11); хлеб и выпечка (8); масла и жиры (6); молочные продукты и яйца (6); соусы и приправы (5),0.56,0.122,259.32,,,
d2753a18-9427-4547-8677-6fc124d51840,Перекрёсток,Взрослые с детьми до 3х лет,3,бакалея; готовая еда; хлеб и выпечка; молочные продукты и яйца; мясо и птица,56,бакалея (37); готовая еда (23); хлеб и выпечка (14); мясо и птица (12); молочные продукты и яйца (12),0.286,0.119,1061.08,,,
6281b7e8-e94e-4ae7-b3ee-e3b910698a62,Перекрёсток,Старшие,1,бытовая химия; готовая еда; детское питание; кондитерка; хлеб и выпечка,58,бытовая химия (19); готовая еда (17); хлеб и выпечка (9); кондитерка (9); детское питание (9),0.293,0.379,656.87,,,
dc680de0-78ad-41e8-8a90-eb1ba6603b06,Чижик,Старшие,3,молочные продукты и яйца; хлеб и выпечка; личная гигиена; бакалея; масла и жиры,59,молочные продукты и яйца (31); хлеб и выпечка (30); личная гигиена (20); бакалея (17); масла и жиры (3),0.61,0.107,290.16,,,
fcf18a73-184b-4ddd-9338-3dc666662e03,Пятёрочка,Молодёжь,3,готовая еда; овощи; кондитерка; сладости и снеки; рыба и морепродукты,87,готовая еда (42); овощи (40); кондитерка (39); сладости и снеки (26); рыба и морепродукты (16),0.287,0.124,722.83,,,
e40508d1-6e66-400b-9116-33567c50b1c1,Чижик,Молодёжь,3,орехи и сухофрукты; рыба и морепродукты; мясо и птица; бытовая химия; хлеб и выпечка,40,орехи и сухофрукты (20); рыба и морепродукты (17); мясо и птица (16); бытовая химия (12); хлеб и выпечка (5),0.3,0.39,762.25,,,
ffa53faa-301d-4935-b907-dda4b05aba98,Пятёрочка,Молодёжь,1,молочные продукты и яйца; товары для дома; овощи; хлеб и выпечка; напитки,35,молочные продукты и яйца (14); товары для дома (8); овощи (4); хлеб и выпечка (4); напитки (3),0.514,0.188,293.15,,,
c8311f98-5476-4495-a1f7-5952ec026c56,Пятёрочка,Молодёжь,3,молочные продукты и яйца; хлеб и выпечка; готовая еда; детское питание; бакалея,92,молочные продукты и яйца (42); хлеб и выпечка (41); готовая еда (40); детское питание (38); бакалея (9),0.283,0.153,608.41,,,
58f9091a-5e6a-4473-ac17-5b1bcda6e65b,Пятёрочка,Зрелые,1,бакалея; молочные продукты и яйца; хлеб и выпечка; товары для животных; алкоголь,48,бакалея (24); молочные продукты и яйца (21); хлеб и выпечка (14); товары для животных (11); алкоголь (10),0.604,0.122,536.86,,,
e4039782-67e5-43c9-ae73-35a01662e2ce,Пятёрочка,Взрослые с детьми до 3х лет,3,бакалея; личная гигиена; мясо и птица; овощи; молочные продукты и яйца,90,бакалея (89); личная гигиена (84); мясо и птица (81); овощи (13); молочные продукты и яйца (7),0.3,0.142,1076.18,,,
ab870179-a80a-464d-9f0f-0133575d110d,Чижик,Взрослые с детьми до 3х лет,3,масла и жиры; мясо и птица; фрукты; молочные продукты и яйца; напитки,37,масла и жиры (37); мясо и птица (10); фрукты (9); овощи (8); напитки (8),0.27,0.212,589.87,,,
7b46c9ce-c1a9-4388-b911-5be54c589997,Пятёрочка,Молодёжь,3,готовая еда; фрукты; орехи и сухофрукты; кондитерка; консервация,89,готовая еда (40); фрукты (35); орехи и сухофрукты (32); кондитерка (26); консервация (22),0.303,0.153,678.87,,,
4686fd9b-97a0-4271-af96-00667f7a2172,Чижик,Старшие,2,овощи; бакалея; кондитерка; орехи и сухофрукты; молочные продукты и яйца,47,овощи (13); бакалея (10); кондитерка (10); орехи и сухофрукты (8); молочные продукты и яйца (7),0.298,0.319,410.08,,,
e29473b0-c4b1-4d26-918a-2a3edf464515,Перекрёсток,Взрослые с детьми до 3х лет,3,молочные продукты и яйца; хлеб и выпечка; товары для дома; консервация; личная гигиена,39,молочные продукты и яйца (26); хлеб и выпечка (20); товары для дома (19); консервация (16); личная гигиена (16),0.462,0.349,943.52,,,
42cc0ea1-a7cd-4157-87ab-02660cebe09f,Перекрёсток,Взрослые с детьми до 3х лет,3,фрукты; личная гигиена; масла и жиры; хлеб и выпечка; сладости и снеки,75,фрукты (78); личная гигиена (64); масла и жиры (57); хлеб и выпечка (11); сладости и снеки (10),0.307,0.24,1023.75,,,
